tms_acc,x_acc,y_acc,z_acc,tms_gyr,x_gyr,y_gyr,z_gyr,tms_mag,x_mag,y_mag,z_mag,tms_ori,yaw,pitch,roll,blockID,testID,freq
20230915-14:02:48.545,0.05746084,-2.0446482,-9.593566,20230915-14:02:48.556,0.0064904434,-0.005726862,0.010079277,20230915-14:02:48.608,0.9525,25.109999,18.66,20230915-14:02:48.546,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.548,0.06823475,-2.0446482,-9.67856,20230915-14:02:48.608,0.005879578,-0.0045051314,0.011911872,20230915-14:02:48.639,1.2975,24.6975,18.3,20230915-14:02:48.549,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.608,0.022744916,-2.1332338,-9.55885,20230915-14:02:48.639,-0.005726862,0.0064904434,0.00580322,20230915-14:02:48.656,1.8,24.6975,18.5025,20230915-14:02:48.609,0.0,0.0,0.0,86906,1,100
20230915-14:02:48.639,0.061052144,-2.0590134,-9.591172,20230915-14:02:48.656,-0.005726862,0.0052687125,0.004581489,20230915-14:02:48.673,1.8,24.8025,18.5025,20230915-14:02:48.639,0.069291614,0.21178539,-3.1355028,86906,1,100
20230915-14:02:48.656,0.074220255,-2.0518308,-9.607931,20230915-14:02:48.673,-0.0075594573,0.00038179077,0.0021380284,20230915-14:02:48.695,1.7025,24.6975,18.5025,20230915-14:02:48.656,0.09462191,0.20986108,-3.1347299,86906,1,100
20230915-14:02:48.673,0.093373865,-2.0853498,-9.66659,20230915-14:02:48.696,-0.0051159966,-0.0026725354,0.0009162979,20230915-14:02:48.708,1.5975,24.8025,18.6975,20230915-14:02:48.674,0.09693915,0.21246184,-3.1319335,86906,1,100
20230915-14:02:48.696,0.12808979,-2.0937295,-9.673772,20230915-14:02:48.708,-0.0045051314,0.003436117,0.0009162979,20230915-14:02:48.726,-17.3025,25.432499,54.225,20230915-14:02:48.695,0.092655905,0.21246184,-3.1319335,86906,1,100
20230915-14:02:48.708,0.10414778,-2.12246,-9.661801,20230915-14:02:48.726,-0.0032834008,0.005879578,-0.00030543262,20230915-14:02:48.740,1.89,24.375,30.24,20230915-14:02:48.708,0.09138185,0.21337205,-3.1276014,86906,1,100
20230915-14:02:48.726,0.10534488,-2.054225,-9.653421,20230915-14:02:48.740,-0.0026725354,0.004046982,-0.0009162979,20230915-14:02:48.756,2.0774999,23.9475,19.74,20230915-14:02:48.726,-0.9036338,0.21622849,-3.1308138,86906,1,100
20230915-14:02:48.740,0.093373865,-2.1080947,-9.651027,20230915-14:02:48.758,-0.0032834008,0.0016035213,-0.008246681,20230915-14:02:48.767,2.0774999,23.9475,19.74,20230915-14:02:48.741,-0.9026783,0.21504459,-3.131918,86906,1,100
20230915-14:02:48.756,0.09935937,-2.0254946,-9.648633,20230915-14:02:48.768,-0.0045051314,0.0028252518,-0.009468411,20230915-14:02:48.784,1.5,24.435,20.175,20230915-14:02:48.756,0.124099016,0.20691024,-3.1312952,86906,1,100
20230915-14:02:48.769,0.08619126,-2.0685902,-9.640253,20230915-14:02:48.777,-0.0051159966,0.003436117,-0.009468411,20230915-14:02:48.795,-6.315,25.0275,33.285,20230915-14:02:48.767,0.11680274,0.21251632,-3.1324105,86906,1,100
20230915-14:02:48.780,0.06703765,-2.0578163,-9.640253,20230915-14:02:48.788,-0.0051159966,0.0046578473,-0.010079277,20230915-14:02:48.804,-6.315,25.0275,33.285,20230915-14:02:48.780,0.08312325,0.2102996,-3.1346388,86906,1,100
20230915-14:02:48.790,0.06823475,-2.0602105,-9.628283,20230915-14:02:48.800,-0.005726862,0.0046578473,-0.009468411,20230915-14:02:48.817,1.6574999,23.9175,29.7375,20230915-14:02:48.790,0.08330969,0.21079098,-3.1345057,86906,1,100
20230915-14:02:48.800,0.051475335,-2.0566192,-9.631873,20230915-14:02:48.817,-0.006948592,0.0046578473,-0.009468411,20230915-14:02:48.847,1.7099999,24.375,30.172499,20230915-14:02:48.801,-0.3369568,0.21036035,-3.1362484,86906,1,100
20230915-14:02:48.820,0.06344634,-2.0590134,-9.648633,20230915-14:02:48.828,-0.0075594573,0.0046578473,-0.010079277,20230915-14:02:48.864,1.2825,24.449999,18.404999,20230915-14:02:48.818,0.10522082,0.20990242,-3.136251,86906,1,100
20230915-14:02:48.830,0.053869538,-2.0709844,-9.654618,20230915-14:02:48.847,-0.010002919,0.0046578473,-0.008857546,20230915-14:02:48.875,0.93,25.057499,20.43,20230915-14:02:48.830,0.10591864,0.21130182,-3.136013,86906,1,100
20230915-14:02:48.847,0.053869538,-2.0769699,-9.66659,20230915-14:02:48.857,-0.008781188,0.0077121737,-0.005192355,20230915-14:02:48.884,0.93,25.057499,20.43,20230915-14:02:48.847,0.10688218,0.21130182,-3.136013,86906,1,100
20230915-14:02:48.860,0.039504327,-2.0841527,-9.67856,20230915-14:02:48.868,-0.005726862,0.0071013086,-0.0027488936,20230915-14:02:48.895,0.5475,25.335,29.324999,20230915-14:02:48.860,0.06767937,0.21209659,-3.137511,86906,1,100
20230915-14:02:48.870,0.010773907,-2.1380222,-9.6845455,20230915-14:02:48.878,-0.0045051314,0.0071013086,-0.0009162979,20230915-14:02:48.904,0.5475,25.335,29.324999,20230915-14:02:48.870,0.06535738,0.21728106,-3.1404803,86906,1,100
20230915-14:02:48.880,0.016759412,-2.1392193,-9.662998,20230915-14:02:48.888,-0.0020616702,0.0064904434,0.0021380284,20230915-14:02:48.915,0.6375,24.727499,29.7825,20230915-14:02:48.880,0.048115063,0.21786834,-3.1398582,86906,1,100
20230915-14:02:48.889,0.005985504,-2.0805612,-9.664195,20230915-14:02:48.897,-0.0008399397,0.0052687125,0.004581489,20230915-14:02:48.924,0.6375,24.727499,29.7825,20230915-14:02:48.890,0.046639986,0.21204899,-3.1409733,86906,1,100
20230915-14:02:48.900,-0.01436521,-2.1404164,-9.657013,20230915-14:02:48.908,-0.0008399397,0.003436117,0.00580322,20230915-14:02:48.935,0.84,25.47,30.21,20230915-14:02:48.900,0.027394367,0.21811739,3.140105,86906,1,100
20230915-14:02:48.910,-0.007182605,-2.1140802,-9.664195,20230915-14:02:48.918,-0.0020616702,0.0016035213,0.008246681,20230915-14:02:48.947,0.84,25.47,30.21,20230915-14:02:48.910,0.02843512,0.21536136,3.1408494,86906,1,100
20230915-14:02:48.920,-0.0035913025,-2.0937295,-9.662998,20230915-14:02:48.928,-0.003894266,0.00038179077,0.010079277,20230915-14:02:48.964,1.3425,24.1575,19.2825,20230915-14:02:48.920,0.035060372,0.21337654,3.141221,86906,1,100
20230915-14:02:48.929,0.005985504,-2.100912,-9.67018,20230915-14:02:48.937,-0.003894266,0.00038179077,0.0106901415,20230915-14:02:48.975,1.3425,25.5075,17.2125,20230915-14:02:48.930,0.036749117,0.2139322,-3.1409738,86906,1,100
20230915-14:02:48.940,0.010773907,-2.0745757,-9.685743,20230915-14:02:48.948,-0.0020616702,-0.0026725354,0.011301007,20230915-14:02:48.984,1.3425,25.5075,17.2125,20230915-14:02:48.940,0.046988435,0.21100035,-3.1404803,86906,1,100
20230915-14:02:48.950,0.04309563,-2.0482395,-9.673772,20230915-14:02:48.958,-0.0008399397,-0.0045051314,0.011911872,20230915-14:02:48.995,0.97499996,25.0725,17.6325,20230915-14:02:48.950,0.052178178,0.2086477,-3.137138,86906,1,100
20230915-14:02:48.960,0.05746084,-2.0278888,-9.646238,20230915-14:02:48.968,-0.00022907447,-0.005726862,0.009468411,20230915-14:02:49.015,1.74,24.9975,26.4975,20230915-14:02:48.960,0.07393328,0.20720494,-3.1356359,86906,1,100
20230915-14:02:48.969,0.07182605,-2.0242975,-9.621099,20230915-14:02:48.977,-0.001450805,-0.0051159966,0.0076358155,20230915-14:02:49.024,1.74,24.9975,26.4975,20230915-14:02:48.970,0.07541619,0.20737147,-3.1341274,86906,1,100
20230915-14:02:48.980,0.073023155,-2.03148,-9.616311,20230915-14:02:48.988,-0.0032834008,-0.0032834008,0.005192355,20230915-14:02:49.035,2.055,24.547499,25.6575,20230915-14:02:48.980,0.06872668,0.20818669,-3.133999,86906,1,100
20230915-14:02:48.990,0.08140286,-2.055422,-9.617508,20230915-14:02:48.999,-0.0045051314,-0.0008399397,0.004581489,20230915-14:02:49.044,2.055,24.547499,25.6575,20230915-14:02:48.990,0.069590874,0.21054192,-3.133129,86906,1,100
20230915-14:02:49.000,0.08259996,-2.0242975,-9.646238,20230915-14:02:49.017,-0.003894266,0.00038179077,0.0021380284,20230915-14:02:49.055,1.4625,24.314999,17.137499,20230915-14:02:49.000,0.05377298,0.20684457,-3.13303,86906,1,100
20230915-14:02:49.009,0.088585466,-2.0590134,-9.677363,20230915-14:02:49.028,-0.0051159966,0.0016035213,0.0009162979,20230915-14:02:49.064,1.4625,24.314999,17.137499,20230915-14:02:49.010,0.054431297,0.20963131,-3.1324391,86906,1,100
20230915-14:02:49.020,0.095768064,-2.0973208,-9.692925,20230915-14:02:49.038,-0.0051159966,0.004046982,0.0009162979,20230915-14:02:49.075,1.095,24.1875,17.265,20230915-14:02:49.020,0.10589186,0.21308133,-3.1317127,86906,1,100
20230915-14:02:49.031,0.11252748,-2.03148,-9.726444,20230915-14:02:49.048,-0.0045051314,0.0052687125,-0.0009162979,20230915-14:02:49.084,1.095,24.1875,17.265,20230915-14:02:49.031,0.10697438,0.20588817,-3.130024,86906,1,100
20230915-14:02:49.049,0.10295067,-2.0937295,-9.691729,20230915-14:02:49.057,-0.006337727,0.0046578473,-0.0015271631,20230915-14:02:49.095,0.78,24.93,17.512499,20230915-14:02:49.045,0.122734584,0.21434426,-3.1325839,86906,1,100
20230915-14:02:49.060,0.11851298,-2.0757728,-9.749189,20230915-14:02:49.068,-0.011224649,0.0016035213,-0.0009162979,20230915-14:02:49.104,0.78,24.93,17.512499,20230915-14:02:49.055,0.0814232,0.21275131,-3.1309705,86906,1,100
20230915-14:02:49.070,0.062249243,-2.172738,-9.765948,20230915-14:02:49.078,-0.011224649,-0.003894266,0.0033597588,20230915-14:02:49.115,1.3425,24.585,24.6975,20230915-14:02:49.065,0.082449846,0.20976974,-3.129437,86906,1,100
20230915-14:02:49.080,0.005985504,-2.2469583,-9.683349,20230915-14:02:49.088,-0.018555032,-0.009392053,0.013744468,20230915-14:02:49.124,1.3425,24.585,24.6975,20230915-14:02:49.075,0.060594182,0.21891126,-3.1352186,86906,1,100
20230915-14:02:49.100,0.05865794,-2.1212628,-9.727641,20230915-14:02:49.097,-0.014278975,-0.011224649,0.024129177,20230915-14:02:49.135,0.9525,24.8925,24.555,20230915-14:02:49.085,0.056183044,0.22800831,-3.1409745,86906,1,100
20230915-14:02:49.120,0.029927522,-2.1859062,-10.022128,20230915-14:02:49.108,-0.010002919,-0.005726862,0.034513887,20230915-14:02:49.144,0.9525,24.8925,24.555,20230915-14:02:49.095,0.03960796,0.22497694,-3.13998,86906,1,100
20230915-14:02:49.140,-0.19991584,-2.5390508,-10.126276,20230915-14:02:49.118,-0.010002919,0.00038179077,0.04062254,20230915-14:02:49.155,1.0124999,25.05,20.3625,20230915-14:02:49.105,0.042905767,0.21470055,-3.1355627,86906,1,100
20230915-14:02:49.150,-0.29209262,-2.6300306,-10.111911,20230915-14:02:49.128,-0.01366811,-0.0026725354,0.04734206,20230915-14:02:49.164,1.0124999,25.05,20.3625,20230915-14:02:49.115,0.07869284,0.20915985,-3.1355314,86906,1,100
20230915-14:02:49.160,-0.35673606,-2.5031378,-10.0748005,20230915-14:02:49.137,-0.019776762,-0.019165898,0.058337633,20230915-14:02:49.175,0.3225,25.0875,18.3975,20230915-14:02:49.125,0.075356975,0.21474399,-3.1386065,86906,1,100
20230915-14:02:49.169,-0.40222588,-2.433706,-10.001778,20230915-14:02:49.148,-0.02649628,-0.04176791,0.07666359,20230915-14:02:49.184,0.3225,25.0875,18.3975,20230915-14:02:49.135,0.04105737,0.22713028,3.1341257,86906,1,100
20230915-14:02:49.180,-0.4225766,-2.2972364,-9.878476,20230915-14:02:49.158,-0.0332158,-0.06009387,0.10415252,20230915-14:02:49.195,0.7125,25.635,20.07,20230915-14:02:49.145,0.025729654,0.24562797,3.1218529,86906,1,100
20230915-14:02:49.190,-0.4285621,-2.030283,-9.657013,20230915-14:02:49.168,-0.039935317,-0.072922036,0.13530666,20230915-14:02:49.204,0.7125,25.635,20.07,20230915-14:02:49.155,0.022184527,0.25435296,3.1127148,86906,1,100
20230915-14:02:49.200,-0.3854665,-1.8435353,-9.409213,20230915-14:02:49.177,-0.044211373,-0.08513934,0.16768251,20230915-14:02:49.215,1.5224999,24.734999,21.0525,20230915-14:02:49.165,0.015015303,0.24337777,3.1061988,86906,1,100
20230915-14:02:49.211,-0.24420857,-1.483208,-9.157822,20230915-14:02:49.188,-0.04482224,-0.106519625,0.2012801,20230915-14:02:49.224,1.5224999,24.734999,21.0525,20230915-14:02:49.175,-0.020815624,0.23850319,3.101399,86906,1,100
20230915-14:02:49.230,0.1340753,-0.92535895,-8.862138,20230915-14:02:49.198,-0.04054618,-0.1333977,0.23304509,20230915-14:02:49.236,0.945,24.9075,20.789999,20230915-14:02:49.185,-0.022886397,0.22828703,3.0988412,86906,1,100
20230915-14:02:49.240,0.30406362,-0.80804306,-8.955511,20230915-14:02:49.208,-0.025885414,-0.15050192,0.25809056,20230915-14:02:49.246,0.945,24.9075,20.789999,20230915-14:02:49.195,-0.008492126,0.20702331,3.0972433,86906,1,100
20230915-14:02:49.251,0.39264908,-1.0594343,-9.214086,20230915-14:02:49.217,-0.003894266,-0.15844317,0.26908615,20230915-14:02:49.256,2.0325,24.4275,20.6775,20230915-14:02:49.205,-0.0051463316,0.19331972,3.1006486,86906,1,100
20230915-14:02:49.260,0.40581718,-1.4257472,-9.387665,20230915-14:02:49.228,0.04008803,-0.09980011,0.2312125,20230915-14:02:49.276,2.0625,24.4275,19.297499,20230915-14:02:49.215,0.045616336,0.16051042,3.1149323,86906,1,100
20230915-14:02:49.271,0.32561144,-1.6256629,-9.441534,20230915-14:02:49.239,0.057803124,-0.051541757,0.18417588,20230915-14:02:49.286,2.0625,24.4275,19.297499,20230915-14:02:49.225,0.05991376,0.13015592,3.1313684,86906,1,100
20230915-14:02:49.280,0.25977087,-1.6938977,-9.445126,20230915-14:02:49.249,0.061468314,-0.0045051314,0.124311075,20230915-14:02:49.304,0.97499996,24.48,19.14,20230915-14:02:49.236,0.05562891,0.104028285,-3.1264648,86906,1,100
20230915-14:02:49.300,0.05746084,-1.8602947,-9.31943,20230915-14:02:49.268,0.03153592,0.035811976,0.025961773,20230915-14:02:49.315,1.245,25.0875,19.455,20230915-14:02:49.246,0.07178865,0.08993337,-3.107653,86906,1,100
20230915-14:02:49.311,-0.01436521,-1.9847932,-9.455899,20230915-14:02:49.279,0.016264288,0.065133505,-0.013744468,20230915-14:02:49.324,1.245,25.0875,19.455,20230915-14:02:49.256,0.1320284,0.11437425,-3.0990045,86906,1,100
20230915-14:02:49.331,-0.019153614,-2.172738,-9.9790325,20230915-14:02:49.297,0.010155635,0.10728321,-0.07544186,20230915-14:02:49.335,1.3199999,24.255,27.375,20230915-14:02:49.271,0.13254407,0.17041081,-3.107119,86906,1,100
20230915-14:02:49.340,-0.093373865,-2.3187842,-10.0903635,20230915-14:02:49.308,0.020540344,0.10667235,-0.09743301,20230915-14:02:49.345,1.3199999,24.255,27.375,20230915-14:02:49.281,0.12487861,0.1773888,-3.1140964,86906,1,100
20230915-14:02:49.352,-0.18674773,-2.360683,-10.049662,20230915-14:02:49.318,0.022983804,0.096898496,-0.11148291,20230915-14:02:49.356,1.0725,24.75,20.4375,20230915-14:02:49.295,0.0657121,0.18512742,-3.121892,86906,1,100
20230915-14:02:49.372,-0.142455,-2.0386627,-9.739613,20230915-14:02:49.328,0.005879578,0.09201158,-0.12675454,20230915-14:02:49.366,1.0725,24.75,20.4375,20230915-14:02:49.305,0.053893264,0.19702134,-3.135427,86906,1,100
20230915-14:02:49.390,-0.29568392,-1.6101006,-9.4774475,20230915-14:02:49.337,-0.027107146,0.10056369,-0.14080444,20230915-14:02:49.376,0.525,25.4475,19.859999,20230915-14:02:49.315,0.059060846,0.20689616,3.1400735,86906,1,100
20230915-14:02:49.400,-0.32321724,-1.6196774,-9.53012,20230915-14:02:49.348,-0.05642868,0.11827879,-0.14019357,20230915-14:02:49.396,0.81,25.3575,27.359999,20230915-14:02:49.325,0.059146393,0.21090794,3.139868,86906,1,100
20230915-14:02:49.411,-0.33877954,-1.6867151,-9.503783,20230915-14:02:49.359,-0.06620252,0.12622003,-0.12797627,20230915-14:02:49.416,1.3199999,24.4275,27.285,20230915-14:02:49.335,0.070786856,0.21438399,3.1396732,86906,1,100
20230915-14:02:49.420,-0.24540567,-1.6950948,-9.496601,20230915-14:02:49.368,-0.05826127,0.13293955,-0.105374254,20230915-14:02:49.425,1.3199999,24.4275,27.285,20230915-14:02:49.346,0.060855463,0.22587085,3.1323392,86906,1,100
20230915-14:02:49.431,0.35793316,-1.4736311,-9.3421755,20230915-14:02:49.379,-0.042378776,0.13416128,-0.0852157,20230915-14:02:49.436,1.05,24.9825,20.7225,20230915-14:02:49.356,0.03565319,0.23068042,3.1230123,86906,1,100
20230915-14:02:49.440,0.21906945,-1.6160861,-9.096769,20230915-14:02:49.399,0.017486017,0.09201158,-0.03573562,20230915-14:02:49.446,1.05,24.9825,20.7225,20230915-14:02:49.366,0.034958437,0.2259091,3.12256,86906,1,100
20230915-14:02:49.451,0.11971009,-1.6400281,-9.350554,20230915-14:02:49.408,0.054748796,0.0669661,-0.01863139,20230915-14:02:49.456,1.0799999,25.2675,21.24,20230915-14:02:49.376,0.0112526575,0.20631614,3.1269674,86906,1,100
20230915-14:02:49.460,0.51834464,-1.9560628,-9.834184,20230915-14:02:49.419,0.0828486,0.065133505,-0.013133603,20230915-14:02:49.476,0.60749996,25.199999,20.1,20230915-14:02:49.390,-0.0043450543,0.16820058,3.110404,86906,1,100
20230915-14:02:49.471,0.25498247,-2.1823149,-10.093954,20230915-14:02:49.430,0.10483975,0.0669661,-0.005192355,20230915-14:02:49.496,0.69,24.8925,19.574999,20230915-14:02:49.401,-0.005772704,0.16825005,3.1076903,86906,1,100
20230915-14:02:49.480,0.5602432,-2.60968,-10.396821,20230915-14:02:49.448,0.13782647,0.10361802,-0.04917465,20230915-14:02:49.505,0.69,24.8925,19.574999,20230915-14:02:49.411,-0.008182624,0.17554007,3.1059608,86906,1,100
20230915-14:02:49.491,0.046686932,-2.779668,-10.200497,20230915-14:02:49.459,0.12683089,0.13538301,-0.067500606,20230915-14:02:49.516,0.5625,25.14,21.8475,20230915-14:02:49.421,0.031921595,0.17657697,3.115757,86906,1,100
20230915-14:02:49.500,0.47764325,-2.8407204,-10.160992,20230915-14:02:49.468,0.088346384,0.14393513,-0.09682214,20230915-14:02:49.526,0.5625,25.14,21.8475,20230915-14:02:49.431,0.11826836,0.15633766,-3.1032977,86906,1,100
20230915-14:02:49.511,0.29807812,-2.742558,-9.864111,20230915-14:02:49.479,0.04192063,0.15370896,-0.10720685,20230915-14:02:49.536,0.6975,24.734999,20.564999,20230915-14:02:49.441,0.07368143,0.17577064,-3.117515,86906,1,100
20230915-14:02:49.521,0.33039984,-2.4540567,-9.688137,20230915-14:02:49.488,-0.0051159966,0.12988523,-0.124311075,20230915-14:02:49.545,0.6975,24.734999,20.564999,20230915-14:02:49.451,0.0624578,0.17361367,-3.1287909,86906,1,100
20230915-14:02:49.540,0.37349546,-2.2589293,-9.270349,20230915-14:02:49.499,-0.03688099,0.12927435,-0.11575896,20230915-14:02:49.556,0.675,24.945,26.1525,20230915-14:02:49.461,0.1059069,0.19607668,-3.088933,86906,1,100
20230915-14:02:49.551,0.2801216,-2.172738,-9.218874,20230915-14:02:49.520,-0.03932445,0.1408808,-0.093767814,20230915-14:02:49.575,0.4725,25.215,20.4525,20230915-14:02:49.471,0.0797628,0.21285719,-3.116337,86906,1,100
20230915-14:02:49.560,0.32441434,-2.1308396,-9.235633,20230915-14:02:49.539,-0.020387627,0.12194397,-0.106595986,20230915-14:02:49.584,0.4725,25.215,20.4525,20230915-14:02:49.481,0.08604028,0.24558453,-3.0877588,86906,1,100
20230915-14:02:49.571,0.3184288,-2.1380222,-9.295488,20230915-14:02:49.548,-0.001450805,0.10789407,-0.09682214,20230915-14:02:49.595,0.315,25.05,20.7675,20230915-14:02:49.491,0.036741264,0.26604083,-3.1370158,86906,1,100
20230915-14:02:49.590,0.47764325,-2.349909,-9.720459,20230915-14:02:49.559,0.015042556,0.09323331,-0.08827003,20230915-14:02:49.604,0.315,25.05,20.7675,20230915-14:02:49.501,0.08568731,0.27232498,-3.0946198,86906,1,100
20230915-14:02:49.600,0.38307226,-2.4073699,-9.854534,20230915-14:02:49.577,0.024205536,0.12377657,-0.06994407,20230915-14:02:49.615,-8.1675,25.965,35.392498,20230915-14:02:49.511,0.06821035,0.27106693,-3.1113834,86906,1,100
20230915-14:02:49.609,0.2681506,-2.4253263,-10.035296,20230915-14:02:49.588,0.016875152,0.11766792,-0.0711658,20230915-14:02:49.627,-8.1675,25.965,35.392498,20230915-14:02:49.522,0.0686096,0.24794883,-3.1075022,86906,1,100
20230915-14:02:49.620,0.6332663,-2.5007436,-9.859323,20230915-14:02:49.598,-0.001450805,0.11827879,-0.0729984,20230915-14:02:49.646,0.42749998,25.154999,27.8925,20230915-14:02:49.536,0.090644374,0.23312032,-3.0900078,86906,1,100
20230915-14:02:49.631,0.29807812,-2.4827871,-9.850943,20230915-14:02:49.608,-0.022220224,0.12194397,-0.06811147,20230915-14:02:49.656,-0.2775,25.185,28.92,20230915-14:02:49.546,0.07933915,0.23882812,-3.1013253,86906,1,100
20230915-14:02:49.640,0.3866636,-2.2984335,-9.680955,20230915-14:02:49.617,-0.04665483,0.10361802,-0.06627888,20230915-14:02:49.665,-0.2775,25.185,28.92,20230915-14:02:49.556,0.0801393,0.23135675,-3.1112163,86906,1,100
20230915-14:02:49.651,0.32561144,-2.231396,-9.610326,20230915-14:02:49.628,-0.057650406,0.096898496,-0.06627888,20230915-14:02:49.676,-0.39,25.125,20.752499,20230915-14:02:49.571,0.084839754,0.22594644,-3.1073499,86906,1,100
20230915-14:02:49.660,0.2669535,-2.2505496,-9.65821,20230915-14:02:49.639,-0.058872137,0.089568116,-0.05955936,20230915-14:02:49.686,-0.39,25.125,20.752499,20230915-14:02:49.585,0.06731704,0.2266347,-3.0987885,86906,1,100
20230915-14:02:49.671,0.29807812,-2.111686,-9.526528,20230915-14:02:49.659,-0.04970916,0.08773552,-0.055283304,20230915-14:02:49.696,-9.037499,24.682499,33.6,20230915-14:02:49.595,0.06834804,0.2369226,-3.0924942,86906,1,100
20230915-14:02:49.680,0.35673606,-2.054225,-9.630676,20230915-14:02:49.679,-0.03688099,0.08345947,-0.038179077,20230915-14:02:49.715,-0.2025,24.975,25.5075,20230915-14:02:49.605,0.057691,0.2394239,-3.1027396,86906,1,100
20230915-14:02:49.691,0.35553896,-2.0937295,-9.677363,20230915-14:02:49.688,-0.04298964,0.09201158,-0.042455133,20230915-14:02:49.724,-0.2025,24.975,25.5075,20230915-14:02:49.615,-0.40415534,0.23705103,-3.1148782,86906,1,100
20230915-14:02:49.700,0.31004912,-2.111686,-9.572019,20230915-14:02:49.699,-0.04970916,0.0846812,-0.042455133,20230915-14:02:49.736,-0.1125,24.72,24.9,20230915-14:02:49.627,-0.3448417,0.24791387,-3.0774505,86906,1,100
20230915-14:02:49.720,0.3878607,-1.9596541,-9.551667,20230915-14:02:49.718,-0.04665483,0.06085745,-0.038789943,20230915-14:02:49.756,-0.65999997,24.99,25.185,20230915-14:02:49.641,0.08514602,0.2329232,-3.1016731,86906,1,100
20230915-14:02:49.731,0.44771573,-1.8614918,-9.595961,20230915-14:02:49.728,-0.03688099,0.048640147,-0.034513887,20230915-14:02:49.766,-0.65999997,24.99,25.185,20230915-14:02:49.651,0.075205006,0.22801848,-3.1077242,86906,1,100
20230915-14:02:49.740,0.37828386,-1.8926164,-9.67018,20230915-14:02:49.739,-0.02649628,0.04314236,-0.03145956,20230915-14:02:49.776,-0.5925,24.457499,25.605,20230915-14:02:49.661,0.0290234,0.22884975,-3.1139596,86906,1,100
20230915-14:02:49.751,0.35434186,-1.9500773,-9.781511,20230915-14:02:49.758,-0.013057245,0.047418416,-0.036957346,20230915-14:02:49.785,-0.5925,24.457499,25.605,20230915-14:02:49.671,0.034189284,0.21803333,-3.1103137,86906,1,100
20230915-14:02:49.771,0.47764325,-2.0614076,-9.794679,20230915-14:02:49.768,-0.011224649,0.052305337,-0.03940081,20230915-14:02:49.796,-0.6225,24.84,25.6575,20230915-14:02:49.681,0.018689677,0.21001107,-3.104568,86906,1,100
20230915-14:02:49.780,0.45609543,-2.112883,-9.707291,20230915-14:02:49.779,-0.016111571,0.052305337,-0.04428773,20230915-14:02:49.806,-0.6225,24.84,25.6575,20230915-14:02:49.691,0.018448235,0.21292995,-3.1048698,86906,1,100
20230915-14:02:49.791,0.4417302,-2.1392193,-9.676167,20230915-14:02:49.788,-0.022220224,0.054748796,-0.04795292,20230915-14:02:49.824,-0.48749998,24.449999,25.9275,20230915-14:02:49.701,-0.4415287,0.21702209,-3.1092129,86906,1,100
20230915-14:02:49.800,0.39743748,-2.1535845,-9.580399,20230915-14:02:49.799,-0.025885414,0.05535966,-0.046120327,20230915-14:02:49.836,-0.7125,25.102499,25.582499,20230915-14:02:49.715,0.038404994,0.20698641,-3.1047256,86906,1,100
20230915-14:02:49.811,0.40222588,-2.136825,-9.545682,20230915-14:02:49.808,-0.025274549,0.041309763,-0.03940081,20230915-14:02:49.847,-0.7125,25.102499,25.582499,20230915-14:02:49.725,0.043009177,0.20219344,-3.1010084,86906,1,100
20230915-14:02:49.831,0.46327803,-2.0949266,-9.635465,20230915-14:02:49.828,-0.0045051314,0.018096883,-0.010079277,20230915-14:02:49.865,-0.1275,24.57,24.539999,20230915-14:02:49.736,0.05359942,0.19140404,-3.0949697,86906,1,100
20230915-14:02:49.840,0.49320555,-2.1404164,-9.661801,20230915-14:02:49.839,0.00038179077,-0.0026725354,-0.004581489,20230915-14:02:49.876,-1.17,25.4025,18.27,20230915-14:02:49.751,0.04068836,0.19665787,-3.105383,86906,1,100
20230915-14:02:49.851,0.51475334,-2.195483,-9.706094,20230915-14:02:49.848,0.0022143866,-0.0032834008,0.00030543262,20230915-14:02:49.896,-1.4625,25.0425,20.73,20230915-14:02:49.766,0.02411972,0.20297423,-3.0968156,86906,1,100
20230915-14:02:49.860,0.5315128,-2.231396,-9.719262,20230915-14:02:49.859,0.000992656,-0.001450805,0.003970624,20230915-14:02:49.916,-0.9,24.9825,29.73,20230915-14:02:49.776,0.03509309,0.2071954,-3.0928657,86906,1,100
20230915-14:02:49.871,0.5434838,-2.207454,-9.692925,20230915-14:02:49.868,-0.001450805,-0.0026725354,0.005192355,20230915-14:02:49.936,-1.2524999,25.38,29.609999,20230915-14:02:49.786,0.033026822,0.21408767,-3.0946424,86906,1,100
20230915-14:02:49.880,0.5482722,-2.2110453,-9.647436,20230915-14:02:49.879,-0.0032834008,-0.0026725354,0.0070249503,20230915-14:02:49.956,-1.1999999,24.869999,29.5875,20230915-14:02:49.796,0.029274264,0.21736212,-3.095973,86906,1,100
20230915-14:02:49.891,0.5638345,-2.172738,-9.639056,20230915-14:02:49.900,-0.0032834008,-0.009392053,0.010079277,20230915-14:02:49.971,-1.1999999,24.869999,29.5875,20230915-14:02:49.806,0.023716098,0.22093134,-3.100132,86906,1,100
20230915-14:02:49.900,0.5793968,-2.1152773,-9.664195,20230915-14:02:49.919,-0.010002919,-0.0026725354,0.006414085,20230915-14:02:49.985,-0.1275,25.2375,20.4525,20230915-14:02:49.820,0.033795036,0.21617584,-3.098906,86906,1,100
