tms_acc,x_acc,y_acc,z_acc,tms_gyr,x_gyr,y_gyr,z_gyr,tms_mag,x_mag,y_mag,z_mag,tms_ori,yaw,pitch,roll,blockID,testID,freq
20230915-14:03:04.540,0.5566519,-2.1200657,-9.661801,20230915-14:03:03.968,0.0016035213,0.0016035213,-0.0009162979,20230915-14:03:03.116,-6.5325,25.8225,27.1425,20230915-14:03:02.292,-0.19738059,0.37384164,-2.7528956,86906,1,100
20230915-14:03:04.551,0.56982,-2.1212628,-9.682152,20230915-14:03:03.979,0.0016035213,0.0016035213,-0.00030543262,20230915-14:03:03.136,-6.2774997,25.6875,29.0625,20230915-14:03:02.306,-0.19630656,0.35082725,-2.7859232,86906,1,100
20230915-14:03:04.571,0.58657944,-2.136825,-9.659407,20230915-14:03:03.988,0.0022143866,-0.001450805,0.0015271631,20230915-14:03:03.145,-6.2174997,25.5675,28.8225,20230915-14:03:02.316,-0.22929195,0.32219294,-2.8196065,86906,1,100
20230915-14:03:04.590,0.5793968,-2.1080947,-9.655815,20230915-14:03:03.999,0.004046982,-0.0045051314,0.0027488936,20230915-14:03:03.156,-6.2174997,25.5675,28.8225,20230915-14:03:02.326,-0.2480839,0.3079439,-2.8503685,86906,1,100
20230915-14:03:04.600,0.5638345,-2.1284454,-9.67018,20230915-14:03:04.008,0.003436117,-0.0051159966,0.0009162979,20230915-14:03:03.166,-6.2325,25.814999,29.16,20230915-14:03:02.336,-0.2650048,0.27247304,-2.8756137,86906,1,100
20230915-14:03:04.609,0.5398925,-2.1535845,-9.671378,20230915-14:03:04.019,0.00038179077,-0.0032834008,-0.0009162979,20230915-14:03:03.176,-6.2325,25.814999,29.16,20230915-14:03:02.346,-0.27570325,0.26265422,-2.8970978,86906,1,100
20230915-14:03:04.620,0.5374983,-2.148796,-9.660604,20230915-14:03:04.038,0.00038179077,-0.0008399397,-0.0027488936,20230915-14:03:03.185,-6.3824997,25.724998,23.797499,20230915-14:03:02.356,-0.27579275,0.25041217,-2.901525,86906,1,100
20230915-14:03:04.631,0.5494693,-2.1571758,-9.661801,20230915-14:03:04.048,-0.0008399397,-0.00022907447,-0.0021380284,20230915-14:03:03.196,-6.3824997,25.724998,23.797499,20230915-14:03:02.366,-0.33374488,0.24742843,-2.901794,86906,1,100
20230915-14:03:04.652,0.59136784,-2.1332338,-9.67018,20230915-14:03:04.057,-0.0026725354,-0.001450805,-0.00030543262,20230915-14:03:03.206,-6.105,25.717499,22.814999,20230915-14:03:02.376,-0.3690458,0.26530388,-2.950741,86906,1,100
20230915-14:03:04.671,0.59017074,-2.1033063,-9.655815,20230915-14:03:04.068,-0.001450805,-0.0026725354,0.003970624,20230915-14:03:03.216,-6.105,25.717499,22.814999,20230915-14:03:02.386,-0.2951089,0.27152774,-2.9525805,86906,1,100
20230915-14:03:04.681,0.5746084,-2.1176715,-9.664195,20230915-14:03:04.078,0.0016035213,-0.0032834008,0.008246681,20230915-14:03:03.225,-5.79,25.7925,23.085,20230915-14:03:02.397,-0.2955992,0.26220244,-2.9565227,86906,1,100
20230915-14:03:04.702,0.5602432,-2.1499932,-9.673772,20230915-14:03:04.088,0.0052687125,-0.00022907447,0.0076358155,20230915-14:03:03.236,-5.79,25.7925,23.085,20230915-14:03:02.412,-0.23243663,0.22677626,-2.9375036,86906,1,100
20230915-14:03:04.712,0.5758055,-2.1499932,-9.662998,20230915-14:03:04.099,0.003436117,0.000992656,0.0070249503,20230915-14:03:03.246,-5.2275,24.8925,29.5725,20230915-14:03:02.426,-0.19515865,0.21463169,-2.9355886,86906,1,100
20230915-14:03:04.732,0.58777654,-2.123657,-9.67018,20230915-14:03:04.108,0.0028252518,-0.0026725354,0.004581489,20230915-14:03:03.256,-5.2275,24.8925,29.5725,20230915-14:03:02.436,-0.20641947,0.21050075,-2.9448388,86906,1,100
20230915-14:03:04.751,0.59256494,-2.1068976,-9.679757,20230915-14:03:04.119,0.004046982,-0.006948592,0.003970624,20230915-14:03:03.265,-5.805,25.5525,29.1225,20230915-14:03:02.446,-0.20390478,0.19612172,-2.9482043,86906,1,100
20230915-14:03:04.760,0.5758055,-2.1068976,-9.676167,20230915-14:03:04.128,0.004046982,-0.010613783,0.0033597588,20230915-14:03:03.276,-5.805,25.5525,29.1225,20230915-14:03:02.456,-0.22723116,0.19267224,-2.9664645,86906,1,100
20230915-14:03:04.771,0.5650316,-2.1045034,-9.665392,20230915-14:03:04.139,0.004046982,-0.012446379,0.005192355,20230915-14:03:03.286,-5.8575,25.635,29.182499,20230915-14:03:02.466,-0.24156938,0.1911326,-2.977014,86906,1,100
20230915-14:03:04.780,0.5746084,-2.112883,-9.654618,20230915-14:03:04.148,0.0022143866,-0.011835515,0.00580322,20230915-14:03:03.296,-5.8575,25.635,29.182499,20230915-14:03:02.476,-0.2718622,0.20138657,-2.995598,86906,1,100
20230915-14:03:04.791,0.56982,-2.1140802,-9.661801,20230915-14:03:04.159,0.00038179077,-0.008781188,0.0076358155,20230915-14:03:03.305,-5.5499997,25.335,28.875,20230915-14:03:02.486,-0.3042452,0.22759303,-3.0168295,86906,1,100
20230915-14:03:04.800,0.5722142,-2.12246,-9.673772,20230915-14:03:04.168,0.000992656,-0.006948592,0.0076358155,20230915-14:03:03.316,-5.5499997,25.335,28.875,20230915-14:03:02.497,-0.35194042,0.24740572,-3.044077,86906,1,100
20230915-14:03:04.811,0.5746084,-2.1260512,-9.665392,20230915-14:03:04.179,0.0028252518,-0.003894266,0.008857546,20230915-14:03:03.326,-5.4674997,25.4925,28.724998,20230915-14:03:02.511,-0.3448768,0.261618,-3.0358548,86906,1,100
20230915-14:03:04.820,0.5542577,-2.136825,-9.657013,20230915-14:03:04.188,0.003436117,-0.001450805,0.008857546,20230915-14:03:03.336,-5.4674997,25.4925,28.724998,20230915-14:03:02.523,-0.3448768,0.261618,-3.0358548,86906,1,100
20230915-14:03:04.831,0.5518635,-2.1320367,-9.653421,20230915-14:03:04.199,0.0028252518,-0.0008399397,0.0070249503,20230915-14:03:03.345,-5.4375,25.724998,28.949999,20230915-14:03:02.536,-0.3369564,0.24095315,-3.0312026,86906,1,100
20230915-14:03:04.840,0.5422867,-2.1404164,-9.660604,20230915-14:03:04.208,0.0016035213,-0.0020616702,0.00580322,20230915-14:03:03.356,-5.4375,25.724998,28.949999,20230915-14:03:02.550,-0.30411032,0.22217529,-3.0363407,86906,1,100
20230915-14:03:04.852,0.5327099,-2.1440077,-9.6845455,20230915-14:03:04.219,0.0022143866,-0.0026725354,0.006414085,20230915-14:03:03.376,-5.415,25.5675,28.71,20230915-14:03:02.560,-0.27754363,0.19839735,-3.025881,86906,1,100
20230915-14:03:04.872,0.50397944,-2.0949266,-9.713276,20230915-14:03:04.228,0.004046982,-0.003894266,0.00580322,20230915-14:03:03.385,-5.3399997,25.2825,28.8825,20230915-14:03:02.571,-0.30027887,0.18222114,-3.0195367,86906,1,100
20230915-14:03:04.891,0.51235914,-2.0494366,-9.813833,20230915-14:03:04.239,0.0046578473,-0.0051159966,0.005192355,20230915-14:03:03.396,-5.3399997,25.2825,28.8825,20230915-14:03:02.581,-0.28938589,0.1685364,-3.0140862,86906,1,100
20230915-14:03:04.902,0.47046062,-2.066196,-9.828198,20230915-14:03:04.248,0.0028252518,-0.0075594573,0.005192355,20230915-14:03:03.406,-5.4375,25.545,29.0175,20230915-14:03:02.595,-0.18633412,0.1681453,-3.0087273,86906,1,100
